english,tag,definition
arrangement,noun,1. a plan or preparation that you make so that something can happen 2. the way things are done or organized
as,conjunction,1. while something else is happening 2. in the way in which
as,adverb,"1. used when you are comparing two people or things, or two situations 2. used to say that something happens in the same way"
asleep,adjective,"1. sleeping 2. used to describe a part of the body that has no feeling in it, usually because it has been in the same position for too long"
assistant,noun,"1. a person who helps or supports somebody, usually in their job 2. a person whose job is to serve customers in a shop"
assistant,adjective,having a rank below that of a senior person and helping them in their work
athlete,noun,"1. a person who competes in sports 2. a person who competes in sports such as running, jumping and throwing "
attack,noun,"1. an act of using violence to try to hurt or kill somebody 2. an act of trying to kill or injure the enemy in war, using weapons such as guns and bombs"
attack,verb,"1. to use violence to try to hurt or kill somebody 2. to use weapons, such as guns and bombs against an enemy in a war, etc."
attend,verb,1. to be present at an event 2. to go regularly to a place
attention,noun,"1. the act of listening to, looking at or thinking about something/somebody carefully; interest that people show in somebody/something 2. special care, action or treatment"
attention,exclamation,1. used for asking people to listen to something that is being announced 2. used for ordering soldiers to stand to attention
attractive,adjective,"1. pleasant to look at, especially in a sexual way 2. pleasant"
audience,noun,"1. the group of people who have gathered to watch or listen to something (a play, concert, somebody speaking, etc.) 2. a number of people or a particular group of people who watch, read, or listen to the same thing"
author,noun,"1. a person who writes books or the person who wrote a particular book 2. the person who creates or starts something, especially a plan or an idea"
available,adjective,"1. that you can get, buy or find 2. free to see or talk to people"
average,noun,"1. the result of adding several amounts together, finding a total, and dividing the total by the number of amounts 2. a level that is usual"
average,adjective,"1. calculated by adding several amounts together, finding a total, and dividing the total by the number of amounts 2. typical or normal"
avoid,verb,1. to prevent something bad from happening 2. to keep away from somebody/something; to try not to do something
award,noun,"1. a prize such as money, etc. for something that somebody has done 2. an increase in the amount of money somebody earns"
awful,adjective,1. very bad or unpleasant 2. that shocks people very much
back,adjective,1. located behind or at the back of something 2. of or from a past time
background,noun,"1. the details of a person’s family, education, experience, etc. 2. the circumstances or past events that help explain why something is how it is; information about these"
bad,adjective,1. unpleasant; full of problems 2. of poor quality; below an acceptable standard
badly,adverb,1. without skill or care 2. not successfully
bag,noun,"1. a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling 2. a bag or case that you take when you are travelling; a piece of luggage"
baggage,noun,"1. bags, cases, etc. that contain somebody's clothes and things when they are travelling 2. the equipment that an army carries with it"
bar,noun,1. a place where you can buy and drink alcoholic and other drinks 2. a place in which a particular kind of food or drink is the main thing that is served
baseball,noun,"1. a game played especially in the US by two teams of nine players, using a bat and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball. 2. the ball used in this game"
based,adjective,"1. if one thing is based on another, it uses it or is developed from it 2. if a person or business is based in a particular place, that is where they live or work, or where the work of the business is done"
basketball,noun,"1. a game played by two teams of five players, using a large ball which players try to throw into a high net hanging from a ring 2. the ball used in this game"
bean,noun,"1. a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans. 2. a seed from a coffee plant, or some other plants"
bear,noun,"1. a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet). There are many types of bear. 2. a person who sells shares in a company, etc., hoping to buy them back later at a lower price"
beard,noun,hair that grows on the chin and sides of somebody's face; similar hair that grows on some animals
beat,verb,1. to defeat somebody in a game or competition 2. to do or be better than something
beef,noun,1. meat that comes from a cow 2. a complaint
beefburger,noun,"beef cut into small pieces and made into a flat round shape that is then fried, often served in a bread roll"
before,adverb,at an earlier time; in the past; already
before,conjunction,1. earlier than the time when 2. until
behave,verb,1. to do things in a particular way 2. to do things in a way that people think is correct or polite
behaviour,noun,"1. the way that somebody behaves, especially towards other people 2. the way a person, an animal, a plant, a chemical, etc. behaves or functions in a particular situation"
belong,verb,1. to be in the right or suitable place 2. to feel comfortable and happy in a particular situation or with a particular group of people
belt,noun,"1. a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body 2. a continuous band of material that moves round and is used to carry things along or to drive a machine"
benefit,noun,"1. an advantage that something gives you; a helpful and useful effect that something has 2. money provided by the government to people who need financial help because they are unemployed, ill, etc."
best,adverb,1. most; to the greatest extent 2. in the most excellent way; to the highest standard
best,noun,1. the most excellent thing or person 2. the highest standard that somebody/something can reach
better,adjective,1. of a higher standard or less poor quality; not as bad as something else 2. more suitable or appropriate
better,adverb,1. in a more excellent or pleasant way; not as badly 2. more; to a greater degree
between,adverb,"1. in the space or period of time separating two or more points, objects, etc. or two dates, events, etc. 2. in a middle position; neither one thing nor the other"
bin,noun,"1. a container that you put waste in 2. a large container, usually with a lid (= cover), for storing things in"
biology,noun,1. the scientific study of the life and structure of plants and animals 2. the way in which the body and cells of a living thing behave
birth,noun,"1. the time when a baby is born; the process of being born 2. the beginning of a new situation, idea, place, etc."
biscuit,noun,"1. a small flat dry cake for one person, usually sweet, and baked until hard 2. a soft bread roll, often eaten with gravy"
bit,noun,1. rather; to some extent 2. a short time or distance
blank,noun,"1. an empty space on a printed form or document for you to write answers, information, etc. in 2. a state of not being able to remember anything"
blank,adjective,"1. empty, with nothing written, printed or recorded on it 2. empty; with no pictures, marks or decoration"
blood,noun,1. the red liquid that flows through the bodies of humans and animals 2. having the type of blood mentioned
blow,verb,"1. to send out air from the mouth 2. when the wind or a current of air blows, it is moving; when it blows, the wind is blowing"
board,noun,"1. a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats 2. a piece of wood, or other strong material, that is used for a special purpose"
boil,verb,"1. when a liquid boils or when you boil it, it is heated to the point where it forms bubbles and turns to steam or vapour 2. when a kettle, pan, etc. boils or when you boil a kettle, etc., it is heated until the water inside it boils"
bone,noun,1. any of the hard parts that form the skeleton of the body of a human or an animal 2. the hard substance that bones are made of
book,verb,"1. to arrange to have or use something on a particular date in the future; to buy a ticket in advance 2. to arrange for somebody to have a seat on a plane, etc."
bookshop,noun,a shop that sells books
boot,noun,"1. a strong shoe that covers the foot and ankle and often the lower part of the leg 2. the space at the back of a car that you put bags, cases, etc. in"
borrow,verb,"1. to take and use something that belongs to somebody else, and return it to them at a later time 2. to take money from a person or bank and agree to pay it back to them at a later time"
boss,noun,1. a person who is in charge of other people at work and tells them what to do 2. a person who is in charge of a large organization
bottom,noun,1. the lowest part of something 2. the part of something that faces downwards and is not usually seen
bottom,adjective,"1. in the lowest, last or furthest place or position 2. the lowest or last position in a scale or competition"
bowl,noun,"1. a deep round dish with a wide open top, used especially for holding food or liquid 2. the amount contained in a bowl"
brain,noun,"1. the organ inside the head that controls movement, thought, memory and feeling 2. the brain of an animal, eaten as food"
bridge,noun,"1. a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other 2. a thing that provides a connection or contact between two different things"
bright,adjective,1. full of light; shining strongly 2. strong and easy to see
brilliant,adjective,1. extremely clever or impressive 2. very good; excellent
bring,verb,1. to come to a place with somebody/something 2. to give or provide somebody/something with something
broken,adjective,1. that has been damaged or injured; no longer whole or working correctly 2. not kept
brush,noun,"1. an object made of short stiff hairs (called bristles) or wires set in a block of wood or plastic, usually attached to a handle. Brushes are used for many different jobs, such as cleaning, painting and tidying your hair. 2. an act of brushing"
brush,verb,"1. to clean, polish or make something smooth with a brush 2. to remove or try to remove something from a place or surface with a brush or with your hand"
builder,noun,"1. a person or company whose job is to build or repair houses or other buildings 2. a person or thing that builds, creates or develops something"
burn,verb,1. to produce flames and heat 2. to be on fire
businessman,noun,"1. a man who works in business, especially at a high level 2. a man who shows skill in business and financial matters"
businesswoman,noun,"1. a woman who works in business, especially at a high level 2. a woman who shows skill in business and financial matters"
button,noun,"1. a small round piece of metal, plastic, etc. that is sewn onto a piece of clothing and used for fastening two parts together 2. a small part of a machine that you press to make it work"
cake,noun,"1. a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing. 2. a food mixture that is cooked in a round, flat shape"
caller,noun,1. a person who is making a phone call 2. a person who goes to a house or a building
camp,noun,1. a place where people live temporarily in tents or temporary buildings 2. a place where children go in the summer and take part in sports and other activities
camp,verb,"1. to put up a tent and live in it for a short time 2. to stay in a tent, especially while you are on holiday"
camping,noun,"living in a tent, etc. on holiday"
can,verb,"1. used to say that it is possible for somebody/something to do something, or for something to happen 2. used to say that somebody knows how to do something"
can,noun,a metal container in which food and drink is sold
candy,noun,"1. sweet food made of sugar and/or chocolate, eaten between meals; a piece of this 2. used to emphasize how easy it is to do something"
car,noun,1. a road vehicle with an engine and four wheels that can carry a small number of passengers 2. a separate section of a train
card,noun,"1. thick, stiff paper; a piece of this for writing on 2. a piece of stiff paper that is folded in the middle and has a picture on the front of it, used for sending somebody a message with your good wishes, an invitation, etc."
care,verb,1. to feel that something is important and worth worrying about 2. to like or love somebody and worry about what happens to them
care,noun,1. the process of caring for somebody/something and providing what they need for their health or protection 2. the fact of providing a home in an institution run by the local authority or with another family for children who cannot live with their parents
careful,adjective,"1. giving attention or thought to what you are doing so that you avoid hurting yourself, damaging something or doing something wrong 2. giving a lot of attention to details"
carefully,adverb,"1. with a lot of attention or thought, so that you avoid hurting yourself, damaging something or doing something wrong 2. with a lot of attention to detail"
carpet,noun,"1. a piece of thick woven material made of wool, etc., used to cover the floor of a room or stairs; the material used for carpets 2. a thick layer of something on the ground"
cartoon,noun,"1. a humorous drawing in a newspaper or magazine, especially one about politics or events in the news 2. a series of drawings inside boxes that tell a story and are often printed in newspapers"
case,noun,1. a particular situation or a situation of a particular type 2. the true situation
cash,noun,1. money in the form of coins or notes 2. money in any form
castle,noun,"1. a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves against attack 2. any of the four pieces placed in the corner squares of the board at the start of the game, usually made to look like a castle"
catch,verb,"1. to stop and hold a moving object or person, especially in your hands 2. to hold a liquid when it falls"
cause,noun,1. the person or thing that makes something happen 2. a reason for having particular feelings or behaving in a particular way
cause,verb,"to make something happen, especially something bad or unpleasant; to make somebody do something"
celeb,noun,a celebrity
celebrate,verb,"1. to show that a day or an event is important by doing something special on it 2. to perform a religious ceremony, especially the Christian communion service"
celebrity,noun,1. a famous person 2. the state of being famous
cent,adjective,"1. a coin and unit of money worth 1% of the main unit of money in many countries, for example of the US dollar or of the euro 2. to give your opinion about something, even if other people do not want to hear it"
cent,noun,"1. a coin and unit of money worth 1% of the main unit of money in many countries, for example of the US dollar or of the euro 2. to give your opinion about something, even if other people do not want to hear it"
centimetre,noun,a unit for measuring length. There are 100 centimetres in a metre.
centre,noun,1. the middle point or part of something 2. the main part of a town or city where there are a lot of shops and offices
certain,adjective,1. strongly believing something; having no doubts 2. that you can rely on to happen or to be true
certainly,adverb,1. without doubt 2. of course
chance,noun,"1. a possibility of something happening, especially something that you want 2. a suitable time or situation when you have the opportunity to do something"
change,noun,1. the act or result of something becoming different 2. the process of replacing something with something new or different; a thing that is used to replace something
change,verb,1. to become different 2. to make somebody/something different
character,noun,"1. a person or an animal in a book, play or film 2. a particular type of person in a play, film or TV show"
charity,noun,"1. an organization for helping people in need 2. organizations for helping people in need, considered as a group; the money, food, help, etc. that they give"
chat,noun,"1. a friendly informal conversation 2. talking, especially informal conversation"
chat,verb,"1. to talk in a friendly, informal way to somebody 2. to exchange messages with somebody on the internet, when you can see and reply to messages immediately and have a written conversation"
check,noun,"1. an act of making sure that something is safe, correct or in good condition by examining it 2. an investigation to find out more information about somebody/something"
chef,noun,"a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc."
chemist,noun,"1. a person whose job is to prepare and sell medicines, and who works in a shop 2. a shop that sells medicines and usually also soap, make-up, etc."
chemistry,noun,"1. the scientific study of the structure of substances, how they react when combined or in contact with one another, and how they behave under different conditions 2. the chemical structure and behaviour of a particular substance"
chip,noun,1. a long thin piece of potato fried in oil or fat 2. a thin round slice of potato that is fried until hard then dried and eaten cold. Chips are sold in bags and are made to taste of many different foods.
chips,noun,long thin pieces of potato fried in oil or fat
chocolate,noun,"1. a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet 2. a sweet that is made of or covered with chocolate"
choice,noun,1. an act of choosing between two or more possibilities; something that you can choose 2. the right to choose; the possibility of choosing
church,noun,"1. a building where Christians go to attend services, pray, etc. 2. a service or services in a church"
cigarette,noun,"a thin tube of paper filled with tobacco, for smoking"
circle,verb,"1. to draw a circle around something 2. to move in a circle, especially in the air"
circle,noun,1. a completely round flat shape 2. the line that forms the edge of a circle
classical,adjective,1. relating to classical music 2. widely accepted and used for a long time; traditional in style or idea
cleaner,noun,"1. a person whose job is to clean other people’s houses or offices, etc. 2. a machine or substance that is used for cleaning"
clear,adjective,1. easy to understand and not confusing 2. obvious and leaving no doubt at all
clearly,adverb,1. in a way that is easy to see or hear 2. in a way that is sensible and easy to understand
clever,adjective,1. quick at learning and understanding things 2. showing skill
climate,noun,1. the regular pattern of weather conditions of a particular place 2. an area with particular weather conditions
climb,verb,1. to go up something towards the top 2. to go up mountains or climb rocks as a hobby or sport
climbing,noun,the sport or activity of climbing rocks or mountains
close,adjective,near in space or time
closed,adjective,"1. shut 2. shut, especially of a shop or public building that is not open for a period of time"
clothing,noun,"1. clothes, especially a particular type of clothes 2. a person who seems to be friendly or not likely to cause any harm but is really an enemy"
cloud,noun,"1. a grey or white mass that floats in the sky, made of very small drops of water  2. a large mass of something in the air, for example dust or smoke, or a number of insects flying all together"
club,noun,1. an organization for people who share an interest or do a sport or activity together 2. the building or rooms that a particular club uses
coach,noun,"1. a person who trains a person or team in sport 2. a person who gives private lessons to somebody, often to prepare them for an exam"
coast,noun,1. the land next to or near to the sea or ocean 2. there is no danger of being seen or caught
code,noun,"1. a system of words, letters, numbers or symbols that represent a message or record information secretly or in a shorter form 2. the numbers that are used for a particular town, area or country, in front of an individual phone number"
