english,tag,definition
disagree,verb,"1. if two people disagree or one person disagrees with another about something, they have a different opinion about it 2. if statements or reports disagree, they give different information"
disappear,verb,1. to become impossible to see 2. to stop existing
disaster,noun,"1. an unexpected event, such as a very bad accident, a flood or a fire, that kills a lot of people or causes a lot of damage 2. a very bad situation that causes problems"
discover,verb,1. to be the first person to become aware that a particular place or thing exists 2. to find somebody/something that was hidden or that you did not expect to find
discovery,noun,"1. an act or the process of finding somebody/something, or learning about something that was not known about before 2. a thing, fact or person that is found or learned about for the first time"
discuss,verb,"1. to talk about something with somebody, especially in order to decide something 2. to write or talk about something in detail, showing the different ideas and opinions about it"
discussion,noun,1. a conversation about somebody/something; the process of discussing somebody/something  2. a speech or a piece of writing that discusses many different aspects of a subject
disease,noun,"1. an illness affecting humans, animals or plants, often caused by infection 2. something that is very wrong with people’s attitudes, way of life or with society"
dishwasher,noun,"1. a machine for washing plates, cups, etc. 2. a person whose job is to wash plates, etc., for example in a restaurant"
distance,noun,1. the amount of space between two places or things 2. being far away in space or in time
diving,noun,1. the sport or activity of diving into water with your head and arms first 2. the activity of swimming underwater using special breathing equipment
divorced,adjective,1. no longer married because your marriage has been legally ended 2. appearing not to be affected by something; separate from something
document,noun,"1. an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something 2. a computer file that contains text that has a name that identifies it"
dog,noun,"1. an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild. 2. a male dog, fox, wolf or otter"
double,noun,a number or amount that is twice as much or as many as another number or amount
double,adjective,1. twice as much or as many as usual 2. having or made of two things or parts that are equal or similar
double,verb,"1. to become, or make something become, twice as much or as many 2. to bend or fold something so that there are two layers"
download,adverb,"to get data from another computer, usually using the internet"
download,noun,1. data that is downloaded from another computer system 2. the act or process of downloading data from another computer system 
download,verb,"to get data from another computer, usually using the internet"
downstairs,adjective,"on a floor of a house or building lower than the one you are on, especially the one at ground level"
drama,noun,"1. a play for the theatre, television or radio 2. plays considered as a form of literature"
drawing,noun,"1. a picture made using a pencil or pen rather than paint 2. the art or skill of making pictures, plans, etc. using a pen or pencil"
dream,verb,"1. to experience a series of images, events and feelings in your mind while you are asleep 2. to imagine and think about something that you would like to happen"
dream,noun,"1. a series of images, events and feelings that happen in your mind while you are asleep 2. a wish to have or be something, especially one that seems difficult to achieve"
dress,noun,"1. a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles 2. clothes of a particular type"
drink,verb,"1. to take liquid into your mouth and then down your throat into your stomach 2. to drink alcohol, especially when it is done regularly"
drink,noun,1. a liquid for drinking; an amount of a liquid that you drink 2. alcohol or an alcoholic drink; something that you drink on a social occasion
drive,noun,1. a journey in a car or other vehicle 2. the equipment in a vehicle that takes power from the engine to the wheels
driving,noun,1. the way that somebody drives a vehicle; the act of driving 2. to be the person in control of a situation
drop,verb,1. to allow something to fall by accident; to fall by accident 2. to make something fall deliberately; to let yourself fall
drug,noun,"1. an illegal substance that some people smoke, inject, etc. for the physical and mental effects it has 2. a substance used as a medicine or used in a medicine"
dry,adjective,1. not wet or sticky; without water or moisture 2. with very little rain
dry,verb,1. to become dry; to make something dry 2. to put somebody in a difficult situation
duck,noun,"1. a common bird that lives on or near water and has short legs, webbed feet (= feet with thin pieces of skin between the toes) and a wide beak. There are many types of duck, some of which are kept for their meat or eggs. 2. a female duck"
earache,noun,pain inside the ear
earn,verb,"1. to get money for work that you do 2. to get money as profit or interest on money you lend, have in a bank, etc."
earth,noun,1. the world; the planet that we live on 2. land; the hard surface of the world that is not the sea or the sky; the ground
easily,adverb,1. without problems or difficulty 2. very probably; very likely
education,noun,"1. a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills 2. a particular kind of teaching or training"
effect,noun,"1. a change that somebody/something causes in somebody/something else; a result 2. a particular look, sound or impression that somebody, such as an artist or a writer, wants to create"
either,noun,1. one or the other of two; it does not matter which 2. each of two
either,adverb,1. used after negative phrases to state that a feeling or situation is similar to one already mentioned 2. used to show a choice of two things
electric,adjective,"1. connected with electricity; using, produced by or producing electricity 2. full of excitement; making people excited"
electrical,adjective,connected with electricity; using or producing electricity
electricity,noun,"1. a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc. 2. a feeling of great emotion, excitement, etc."
electronic,adjective,"1. having or using many small parts, such as microchips, that control and direct a small electric current 2. done or produced by means of a computer or other electronic device"
employ,verb,"1. to give somebody a job to do for payment 2. to use something such as a skill, method, etc. for a particular purpose"
employee,noun,a person who is paid to work for somebody
employer,noun,a person or company that pays people to work for them
empty,adjective,1. with no people or things inside 2. with no meaning; not meaning what is said
end,noun,"1. the final part of a period of time, an event, an activity or a story 2. a situation in which something does not exist any more"
ending,noun,"1. the last part of a story, film, etc. 2. the act of finishing something; the last part of something"
energy,noun,"1. the strength, effort and enthusiasm required for physical or mental activity, work, etc. 2. the physical and mental effort that you use to do something"
engine,noun,1. the part of a vehicle that produces power to make the vehicle move 2. a thing that has an important role in making a particular process happen
engineer,noun,"1. a person whose job involves designing and building engines, machines, roads, bridges, etc. 2. a person who is trained to repair machines and electrical equipment"
enjoy,verb,1. to get pleasure from something 2. to be happy and get pleasure from what you are doing
enormous,adjective,extremely large
enter,verb,"1. to come or go into something 2. to put your name on the list for an exam, a race, a competition, etc.; to do this for somebody"
environment,noun,"1. the natural world in which people, animals and plants live 2. the conditions in which a person, animal or plant lives or operates or in which an activity takes place"
equipment,noun,1. the things that are needed for a particular purpose or activity 2. the process of providing a place or person with necessary things
error,noun,"1. a mistake, especially one that causes problems or affects the result of something 2. to realize or admit that you have done something wrong and decide to change your behaviour"
especially,adverb,"1. more with one person, thing, etc. than with others, or more in particular circumstances than in others  2. for a particular purpose, person, etc."
essay,noun,"1. a short piece of writing by a student as part of a course of study 2. a short piece of writing on a particular subject, written in order to be published"
everyday,adjective,used or happening every day or regularly; ordinary
everywhere,adverb,"in, to or at every place; all places"
evidence,noun,"1. the facts, signs or objects that make you believe that something is true 2. the information that is used in court to try to prove something"
exact,adjective,1. correct in every detail 2. very accurate and careful about details
exactly,adverb,1. used to emphasize that something is correct in every way or in every detail 2. used to ask for more information about something
excellent,adjective,1. extremely good 2. used to show that you are very pleased about something or that you approve of something
except,preposition,used before you mention the only thing or person about which a statement is not true
exist,verb,"1. to be real; to be present in a place or situation 2. to live, especially in a difficult situation or with very little money"
expect,verb,"1. to think or believe that something will happen or that somebody will do something 2. to be waiting for somebody/something to arrive, as this has been arranged"
experience,noun,1. the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this 2. the things that have happened to you that influence the way you think and behave
experiment,noun,"1. a scientific test that is done in order to study what happens and to gain new knowledge 2. a new activity, idea or method that you try out to see what happens or what effect it has"
expert,noun,"a person with special knowledge, skill or training in something"
expert,adjective,"done with, having or involving great knowledge or skill"
explanation,noun,"1. a statement, fact, or situation that tells you why something happened; a reason given for something 2. a statement or piece of writing that tells you how something works or makes something easier to understand"
express,verb,"1. to show or make known a feeling, an opinion, etc. by words, looks or actions 2. to speak, write or communicate in some other way what you think or feel"
expression,noun,"1. a word or phrase 2. things that people say, write or do in order to show their feelings, opinions and ideas"
extreme,adjective,1. very great in degree 2. not ordinary or usual; serious or severe
extremely,adverb,to a very high degree
factor,noun,1. one of several things that cause or influence something 2. a number that divides into another number exactly
factory,noun,"1. a building or group of buildings where goods are made, mainly by machine 2. a person or organization that continuously produces a large quantity of a particular thing"
fail,verb,1. to not be successful in achieving something 2. to not pass a test or an exam; to decide that somebody/something has not passed a test or an exam
fair,adjective,1. acceptable and appropriate in a particular situation 2. treating everyone equally and according to the rules or law
fall,noun,"1. an act of falling 2. an amount of snow, rain, rocks, etc. that falls or has fallen"
fall,verb,1. to drop down from a higher level to a lower level 2. to suddenly stop standing
family,noun,"1. a group consisting of one or two parents and their children 2. a group consisting of one or two parents, their children and close relations"
fan,noun,1. a person who admires somebody/something or enjoys watching or listening to somebody/something very much 2. a machine that creates a current of air
farm,verb,1. to use land for growing crops and/or keeping animals 2. to keep fish or birds in order to produce young and sell them for food 
farming,noun,the business of managing or working on a farm
fashion,noun,"1. a popular style of clothes, hair, etc. at a particular time or place; the state of being popular 2. the business of making or selling clothes in new and different styles"
fat,noun,"1. a white or yellow substance in the bodies of animals and humans, stored under the skin 2. a solid or liquid substance from animals or plants, treated so that it becomes pure for use in cooking"
fear,noun,1. the bad feeling that you have when you are in danger or when a particular thing frightens you 2. a feeling of concern about somebody's safety or about something bad that might happen
feature,noun,"1. something important, interesting or typical of a place or thing 2. a part of somebody’s face such as their nose, mouth and eyes"
feed,verb,1. to give food to a person or an animal 2. to eat food
feel,verb,1. to experience a particular feeling or emotion 2. to notice or be aware of something because it is touching you or having a physical effect on you
feeling,noun,1. something that you feel through the mind or through the senses 2. a person’s emotions rather than their thoughts or ideas
female,noun,1. an animal that can lay eggs or give birth to babies; a plant that can produce fruit 2. a woman or a girl
female,adjective,1. being a woman or a girl 2. belonging to the sex that can lay eggs or give birth to babies
festival,noun,"1. a series of performances of music, plays, films, etc., usually organized in the same place once a year; a series of public events connected with a particular activity or idea 2. a day or period of the year when people stop working to celebrate a special event, often a religious one"
fiction,noun,"1. a type of literature that describes imaginary people and events, not real ones 2. a thing that is invented or imagined and is not true"
field,noun,"1. an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc. 2. an area of land used for the purpose mentioned"
fight,verb,1. to take part in a war or battle against an enemy 2. to struggle physically with somebody
fight,noun,"1. a struggle against somebody/something using physical force 2. an occasion when people fight as a sport, especially in boxing"
figure,noun,"1. a number representing a particular amount, especially one given in official information 2. a symbol rather than a word representing one of the numbers between 0 and 9"
film,verb,to make a film of a story or a real event; to record somebody/something on film
final,noun,"1. the last of a series of games or competitions, in which the winner is decided 2. a series of games or performances that make up the last stage of a competition"
finally,adverb,"1. after a long time, especially when there has been some difficulty or delay 2. used to introduce the last in a list of things"
find,verb,1. to discover somebody/something unexpectedly or by chance 2. to get back something/somebody that was lost after searching for it/them
finger,noun,"1. one of the four long thin parts that stick out from the hand (or five, if the thumb is included) 2. having the type of fingers mentioned; having or using the number of fingers mentioned"
finish,noun,1. the last part or the end of something 2. the position in which a person or team finishes a competition
first,noun,happening or coming before all other similar things or people; 1st
firstly,adverb,used to introduce the first of a list of points you want to make in a speech or piece of writing
fish,verb,"1. to try to catch fish with nets, a fishing line, etc. 2. to spend time fishing for pleasure"
fishing,noun,the sport or business of catching fish
fit,verb,"1. to be the right shape and size for somebody/something 2. to be of the right size, type or number to go somewhere"
fit,adjective,"1. healthy and strong, especially because you do regular physical exercise 2. suitable; of the right quality; with the right qualities or skills"
fix,verb,"1. to repair or correct something 2. to decide on a date, a time, an amount, etc. for something"
flat,adjective,"1. having a level surface, not curved or sloping, and without holes or any bits sticking out 2. without any slopes or hills"
floor,noun,1. the surface of a room that you walk on 2. the bottom surface of a vehicle
flu,noun,"a serious disease caused by a virus, that causes a high temperature, severe pains and weakness"
fly,noun,"1. a small flying insect with two wings. There are many different types of fly and many of them spread disease. 2. a fly or something made to look like a fly, that is put on the end of a fishing line and used as bait to catch fish"
flying,adjective,1. able to fly 2. moving rapidly through the air
flying,noun,1. travelling in an aircraft 2. operating the controls of an aircraft
focus,verb,"1. to give attention, effort, etc. to one particular subject, situation or person rather than another 2. to adapt or be changed so that things can be seen clearly; to change something so that you can see things clearly"
focus,noun,1. the thing or person that people are most interested in; the act of paying special attention to something and making people interested in it 2. a point or distance at which the outline of an object is clearly seen by the eye or through a lens
follow,verb,1. to come or go after or behind somebody/something 2. to come or go after or behind somebody in order to watch where they go and what they do
following,adjective,1. that is/are going to be mentioned next 2. next in time
food,noun,1. things that people or animals eat 2. an idea that makes you think seriously and carefully
foot,noun,"1. the lowest part of the leg, below the ankle, on which a person or an animal stands 2. having or using the type or number of foot/feet mentioned"
football,noun,"1. a game played by two teams of 11 players, using a round ball that players kick up and down the playing field. Teams try to kick the ball into the other team’s goal. 2. a game played by two teams of 11 players, using an oval ball which players kick, throw, or carry. Teams try to put the ball over the other team’s line."
foreign,adjective,1. in or from a country that is not your own 2. dealing with or involving other countries
forest,noun,1. a large area of land that is thickly covered with trees 2. a mass of tall narrow objects that are close together
fork,noun,"1. a tool with a handle and three or four sharp points (called prongs), used for picking up and eating food 2. a garden tool with a long or short handle and three or four sharp metal points, used for digging"
formal,adjective,1. very correct and suitable for official or important occasions 2. official; following an agreed or official way of doing things
fortunately,adverb,by good luck
forward,adverb,1. towards a place or position that is in front 2. towards the future; ahead in time
free,adjective,1. without particular plans or arrangements; not busy 2. not being used
free,adverb,1. without payment 2. in a way that is not tied but is able to move about
fresh,adjective,"1. recently produced or picked and not frozen, dried or preserved in tins or cans 2. pleasantly clean, pure or cool"
fridge,noun,a piece of electrical equipment in which food is kept cold so that it stays fresh
friend,noun,"1. a person you know well and like, and who is not usually a member of your family 2. a person who is on your list of contacts on a social media website"
frog,noun,"1. a small animal with smooth skin, that lives both on land and in water (= is an amphibian). Frogs have very long back legs for jumping, and no tail. 2. an offensive word for a French person"
front-page,adjective,"appearing on the front page of a newspaper, where the most important news is printed"
fun,adjective,1. that you enjoy 2. that provides entertainment or leisure activities
furniture,noun,"1. objects that can be moved, such as tables, chairs and beds, that are put into a house or an office to make it suitable for living or working in 2. a person or thing that you are so used to seeing that you no longer notice them"
further,adjective,more; additional
future,adjective,taking place or existing at a time after the present
g,abbreviation,gram(s)
gallery,noun,"1. a room or building for showing works of art, especially to the public 2. a collection of pictures"
game,noun,"1. an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game 2. a sport with rules in which people or teams compete against each other"
gap,noun,"1. a space where something is missing 2. a space between two things or in the middle of something, especially because there is a part missing"
garbage,noun,"1. waste food, paper, etc. that you throw away 2. a place or container where waste food, paper, etc. can be placed"
gas,noun,"1. any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen 2. a particular type of gas or mixture of gases used as fuel for heating and cooking"
gate,noun,1. a barrier like a door that is used to close an opening in a fence or a wall outside a building 2. an opening that can be closed by a gate or gates
general,adjective,"1. affecting all or most people, places or things 2. normal; usual"
gift,noun,"1. a thing that you give to somebody, especially on a special occasion or to say thank you 2. a natural ability"
go,verb,"1. to move or travel from one place to another 2. to move or travel, especially with somebody else, to a particular place or in order to be present at an event"
goal,noun,1. a frame with a net into which players must kick or hit the ball in order to score a point 2. the act of kicking or hitting the ball into the goal; a point that is scored for this
god,noun,1. the being or spirit that is worshipped and is believed to have created the universe 2. (in some religions) a being or spirit who is believed to have power over a particular part of nature or who is believed to represent a particular quality
gold,noun,"1. a chemical element. Gold is a yellow precious metal used for making coins, jewellery, beautiful objects, etc. 2. money, jewellery, etc. that is made of gold"
gold,adjective,"bright yellow in colour, like gold"
golf,noun,"a game played over a large area of ground using sticks with a special shape to hit a small hard ball (a golf ball) into a series of 9 or 18 holes, using as few shots as possible"
good,noun,1. behaviour that is morally right or acceptable 2. people who live a moral life; people who are admired for the work they do to help other people
good-looking,adjective,physically attractive
government,noun,1. the group of people who are responsible for controlling a country or a state 2. a particular system or method of controlling a country
granny,noun,grandmother
grass,noun,"1. a common wild plant with narrow green leaves and stems that are eaten by cows, horses, sheep, etc. 2. any type of grass"
gray,adjective,1. having the colour of smoke or ashes 2. not bright; full of clouds
greet,verb,1. to say hello to somebody or to welcome them 2. to react to somebody/something in a particular way
grey,adjective,1. having the colour of smoke or ashes 2. not bright; full of clouds
ground,noun,"1. the solid surface of the earth 2. used to describe activities that take place on the ground, not in the air or at sea"
guest,noun,"1. a person that you have invited to your house or to a particular event that you are paying for 2. a person who is staying at a hotel, etc."
guide,noun,"1. a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places 2. a person who advises you on how to live and behave"
guide,verb,"1. to show somebody the way to a place, often by going with them; to show somebody a place that you know well 2. to direct or influence somebody’s behaviour or the development of something"
guitarist,noun,a person who plays the guitar
gun,noun,1. a weapon that is used for firing bullets or shells 2. a tool that uses pressure to send out a substance or an object
guy,noun,1. a man 2. a group of people of either sex
habit,noun,"1. a thing that you do often and almost without thinking, especially something that is hard to stop doing 2. usual behaviour"
hairbrush,noun,a brush for making the hair tidy or smooth
hairdresser,noun,"1. a person whose job is to cut, wash and shape hair 2. a place where you can get your hair cut, washed and shaped"
half,adverb,1. to the extent of half 2. partly
hall,noun,1. a space or passage inside the entrance or front door of a building 2. a passage in a building with rooms down either side
hallway,noun,1. a space or passage inside the entrance or front door of a building 2. a passage in a building with rooms down either side
hamburger,noun,"1. beef cut into small pieces and made into a flat round shape that is then fried, often served in a bread roll 2. beef that has been cut very small in a special machine"
handbag,noun,"a small bag for money, keys, etc., especially one carried by a woman"
handsome,adjective,"1. attractive 2. attractive, with large strong features rather than small light ones"
happily,adverb,1. in a cheerful way; with feelings of pleasure 2. by good luck
hard-working,adjective,putting a lot of effort into a job and doing it well
have,verb,"1. to own, hold or possess something 2. be made up of"
head,noun,"1. the part of the body on top of the neck containing the eyes, nose, mouth and brain 2. the mind or brain"
headache,noun,1. a continuous pain in the head 2. a person or thing that causes worry or trouble
heart,noun,"1. the organ in the chest that sends blood around the body, usually on the left in humans 2. the outside part of the chest where the heart is"
heat,noun,1. the quality of being hot 2. heat seen as a form of energy that is transferred from one object or substance to another as a result of a difference in temperature 
heat,verb,to make something hot or warm; to become hot or warm
heavy,adjective,"1. weighing a lot; difficult to lift or move 2. more or worse than usual in amount, degree, etc."
height,noun,1. the measurement of how tall a person or thing is 2. the quality of being tall or high
help,noun,1. the act of helping somebody to do something 2. the act of helping somebody who is in danger
helpful,adjective,1. able to improve a particular situation 2. willing to help somebody
hero,noun,"1. a person who is admired by many people for doing something brave or good 2. the main male character in a story, novel, film, etc."
heroine,noun,"1. a girl or woman who is admired by many for doing something brave or good 2. the main female character in a story, novel, film, etc."
hers,noun,of or belonging to her
herself,noun,1. used when the woman or girl who performs an action is also affected by it 2. used to emphasize the female subject or object of a sentence
hide,verb,1. to put or keep somebody/something in a place where they/it cannot be seen or found 2. to go somewhere where you hope you will not be seen or found
hide,noun,"1. a place from which people can watch wild animals or birds, without being seen by them 2. an animal’s skin, especially when it is bought or sold or used for leather"
high,adverb,"1. at or to a position or level that is a long way up from the ground or from the bottom 2. at or to a large value, amount or price"
hike,noun,"1. a long walk in the country 2. a large or sudden increase in prices, costs, etc."
hike,verb,"1. to go for a long walk in the country, especially for pleasure 2. to spend time hiking for pleasure"
hiking,noun,the activity of going for long walks in the country for pleasure
hill,noun,"1. an area of land that is higher than the land around it, but not as high as a mountain 2. a slope on a road"
himself,noun,1. used when the man or boy who performs an action is also affected by it 2. used to emphasize the male subject or object of a sentence
his,noun,of or belonging to a man or boy who has already been mentioned or is easily identified
hit,verb,"1. to bring your hand, or an object you are holding, against somebody/something quickly and with force 2. to come against something/somebody with force, especially causing damage or injury"
hit,noun,"1. an act of hitting somebody/something with your hand or with an object held in your hand 2. an occasion when something that has been thrown, fired, etc. at an object reaches that object; the fact of being hit by something"
hockey,noun,"1. a game played on a field by two teams of 11 players, with curved sticks and a small hard ball. Teams try to hit the ball into the other team’s goal. 2. a game played on ice, in which players use long sticks to hit a hard rubber disc (called a puck) into the other team’s goal"
hold,verb,"1. to have somebody/something in your hand, arms, etc. 2. to put your hand on part of your body, usually because it hurts"
hole,noun,1. a hollow space in something solid or in the surface of something 2. a space or opening that goes all the way through something
holiday,noun,1. a period of time when you are not at work or school 2. a period of time spent travelling or resting away from home
home,adjective,1. connected with the place where you live 2. made or used at home
home,noun,"1. the house or flat that you live in, especially with your family 2. a house or flat, etc., when you think of it as property that can be bought and sold"
hope,noun,1. a feeling of wanting and expecting a particular thing to happen; something that you wish for 2. a reason to believe that something good may happen
hotlink,noun,a place in an electronic document that is connected to another electronic document or to another part of the same document
housework,noun,"the work involved in taking care of a home and family, for example cleaning and cooking"
huge,adjective,1. extremely large in size or amount; great in degree 2. very successful
human,noun,a person rather than an animal or a machine
human,adjective,"1. of or connected with people rather than animals, machines or gods 2. showing the weaknesses and desires that are typical of people, which means that other people should not criticize the person too much"
hurt,verb,1. to cause physical pain to somebody/yourself; to injure somebody/yourself 2. to feel painful
hurt,adjective,1. injured physically 2. upset and offended by something that somebody has said or done
hyperlink,noun,a place in an electronic document that is connected to another electronic document or to another part of the same document
idea,noun,"1. a plan, thought or suggestion, especially about what to do in a particular situation 2. a picture or an impression in your mind of what somebody/something is like"
ideal,adjective,1. perfect; most suitable 2. existing only in your imagination or as an idea; not likely to be real
identify,verb,1. to recognize somebody/something and be able to say who or what they are 2. to find or discover somebody/something
ill,adjective,1. suffering from an illness or disease; not feeling well 2. bad or harmful
illness,noun,1. the state of being physically or mentally ill 2. a type or period of illness
image,noun,"1. a picture, photograph or statue that represents somebody/something 2. a picture of somebody/something seen in a mirror, through a camera, or on a television, computer, phone, etc."
immediately,adverb,1. without delay 2. next to or very close to a particular place or time
impossible,adjective,1. that cannot exist or be done; not possible 2. very difficult to deal with
included,adjective,contained as part of something
including,preposition,having something as part of a group or set
increase,noun,"a rise in the amount, number or value of something"
increase,verb,"to become greater in amount, number, value, etc.; to make something greater in amount, number, value, etc."
incredible,adjective,1. impossible or very difficult to believe 2. extremely good
independent,adjective,1. having its own government 2. confident and free to do things without needing help from other people
individual,noun,1. a person considered separately rather than as part of a group 2. a single member of a class of things
individual,adjective,1. considered separately rather than as part of a group 2. connected with one person; designed for one person
industry,noun,"1. the production of goods from raw materials, especially in factories 2. the people and activities involved in producing a particular thing, or in providing a particular service"
informal,adjective,1. relaxed and friendly; not following strict rules of how to behave or do something 2. suitable for normal conversation and writing to friends rather than for serious speech and letters
injury,noun,"1. harm done to a person’s or an animal’s body, for example in an accident 2. damage to a person’s feelings"
insect,noun,"any small creature with six legs and a body divided into three parts. Insects usually also have wings. Ants, bees and flies are all insects."
inside,noun,"1. the inner part, side or surface of something 2. the part of a road nearest the edge, that is used by slower vehicles"
inside,adjective,1. forming the inner part of something; not on the outside 2. known or done by somebody in a group or an organization
inside,adverb,1. on or to the inside 2. in prison
inside,preposition,1. on or to the inner part of something/somebody; within something/somebody 2. in less than the amount of time mentioned
instead,adverb,in the place of somebody/something
instruction,noun,1. detailed information on how to do or use something  2. something that somebody tells you to do 
instructor,noun,1. a person whose job is to teach somebody a practical skill or sport 2. a teacher below the rank of assistant professor at a college or university
instrument,noun,"1. an object used for producing musical sounds, for example a piano or a drum 2. a tool or device used for a particular task, especially for specialist or scientific work"
intelligent,adjective,"1. good at learning, understanding and thinking in a logical way about things; showing this ability 2. able to understand and learn things"
international,adjective,1. connected with or involving two or more countries 2. used by people of many different countries
interviewer,noun,the person who asks the questions in an interview
introduce,verb,"1. to tell two or more people who have not met before what each other’s names are; to tell somebody what your name is 2. to be the main speaker in a television or radio show, who gives details about the show and who presents the people who are in it; to tell the audience the name of the person who is going to speak or perform"
introduction,noun,"1. the first part of a book or speech that gives a general idea of what is to follow 2. the act of making one person formally known to another or a group of others, in which you tell them the person's name "
invent,verb,"1. to produce or design something that has not existed before 2. to say or describe something that is not true, especially in order to trick people"
invention,noun,1. a thing or an idea that has been invented 2. the act of inventing something
invitation,noun,1. a spoken or written request to somebody to do something or to go somewhere 2. the act of inviting somebody or of being invited
invite,verb,1. to ask somebody to come to a social event 2. to ask somebody formally to go somewhere or do something; to make a formal or polite request for something
involve,verb,"1. if a situation, an event or an activity involves something, that thing is an important or necessary part or result of it 2. if a situation, an event or an activity involves somebody/something, they take part in it or are affected by it"
irregular,adjective,"1. not arranged in an even way; not having an even, smooth pattern or shape 2. not happening at times that are at an equal distance from each other; not happening regularly"
item,noun,"1. one thing on a list of things to buy, do, talk about, etc. 2. a single object or thing"
itself,noun,"1. used when the animal or thing that does an action is also affected by it 2. used to emphasize an animal, a thing, etc."
jam,noun,"1. a thick sweet substance made by boiling fruit with sugar, often sold in jars and spread on bread 2. a situation in which it is difficult or impossible to move because there are so many people or vehicles in one particular place"
jazz,noun,"1. a type of music with strong rhythms, in which the players often improvise (= make up the music as they are playing), originally created by African American musicians at the beginning of the 20th century 2. and things like that"
jewellery,noun,objects such as rings and necklaces that people wear as decoration
jog,verb,"1. to run slowly and steadily for a long time, especially for exercise 2. to hit something lightly and by accident"
jog,noun,"1. a slow run, especially one done for physical exercise 2. a light push or knock"
jogging,noun,the activity of running slowly and steadily as a form of exercise
joke,verb,1. to say something to make people laugh; to tell a funny story 2. to say something that is not true because you think it is funny
joke,noun,"1. something that you say or do to make people laugh, for example a funny story that you tell 2. a person, thing or situation that is silly or annoying and cannot be taken seriously"
journalist,noun,"a person whose job is to collect and write news stories for newspapers, magazines, radio, television or online news sites"
jump,verb,1. to move quickly off the ground or away from a surface by pushing yourself with your legs and feet 2. to pass over something by jumping
jump,noun,1. an act of jumping 2. a barrier like a narrow fence that a horse or a runner has to jump over in a race or competition
junk,,1. junk food: food that is quick and easy to prepare and eat but that is thought to be bad for your health 2. things that are considered to have no use or value
key,noun,"1. a piece of metal with a special shape used for locking a door, starting a car, etc. 2. a thing that makes you able to understand or achieve something"
kg,abbreviation,kilogram(s)
kick,verb,1. to hit somebody/something with your foot 2. to move your legs as if you were kicking something
kid,noun,1. a child or young person 2. a young goat
kill,verb,1. to make somebody/something die 2. to destroy something or make it less good; to make something stop
kilo,noun,a unit for measuring weight; 1 000 grams
kilogram,noun,a unit for measuring weight; 1 000 grams
king,noun,"1. the male ruler of an independent state that has a royal family 2. a person, an animal or a thing that is thought to be the best or most important of a particular type"
km,abbreviation,(in writing) kilometre(s)
knee,noun,1. the joint between the top and bottom parts of the leg where it bends in the middle 2. the part of a piece of clothing that covers the knee
knife,noun,"1. a sharp blade (= metal edge) with a handle, used for cutting or as a weapon 2. the situation has become so bad that people are preparing to make one person take the blame, for example by taking away their job"
knock,verb,"1. to hit a door, etc. in order to attract attention 2. to hit something hard, often by accident"
knowledge,noun,"1. the information, understanding and skills that you gain through education or experience 2. the state of knowing about a particular fact or situation"
lab,noun,a laboratory
lady,noun,"1. a word used to mean ‘woman’ that some people, especially older people, consider is more polite 2. a woman who is polite and well educated, has excellent manners and always behaves well"
lake,noun,a large area of water that is surrounded by land
lamb,noun,1. a young sheep 2. meat from a young sheep
lamp,noun,"1. a device that uses electricity, oil or gas to produce light 2. an electrical device that produces rays of heat and that is used for medical or scientific purposes"
land,verb,1. to come down through the air onto the ground or another surface 2. to control a plane and bring it down to the ground 
laptop,noun,a small computer that can work with a battery and be easily carried
last,adverb,1. after anyone or anything else; at the end 2. most recently
last,noun,1. the person or thing that comes or happens after all other similar people or things 2. the only part or items that remain of something
last,verb,to continue for a particular period of time
later,adjective,"1. coming after something else or at a time in the future 2. near the end of a period of time, life, etc."
laughter,noun,1. the act or sound of laughing 2. to laugh a lot at somebody/something
law,noun,"1. a rule that deals with a particular crime, agreement, etc. 2. the whole system of rules that everyone in a country or society must obey"
lawyer,noun,"a person who is trained and qualified to advise people about the law and to represent them in court, and to write legal documents"
lazy,adjective,1. unwilling to work or be active; doing as little as possible 2. not involving much energy or activity; slow and relaxed
lead,verb,1. to go with or in front of a person or an animal to show the way or to make them go in the right direction 2. to connect one object or place to another
leader,noun,"1. a person who leads a group of people, especially the head of a country, an organization, etc. 2. a person or thing that is the best, or in first place in a race, business, etc."
learner,noun,1. a person who is finding out about a subject or how to do something 2. a person who is learning to drive a car
learning,noun,1. the process of learning something 2. knowledge that you get from reading and studying
least,noun,"1. smallest in size, amount, degree, etc. 2. used after amounts to show that the amount is the lowest possible"
least,adverb,1. to the smallest degree 2. not less than
lecture,verb,"1. to give a talk or a series of talks to a group of people on a subject, especially as a way of teaching in a university or college 2. to criticize somebody or tell them how you think they should behave, especially when it is done in an annoying way"
