english,tag,definition
AIDS,noun,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’)
ATM,noun,"a machine in or outside a bank, shop, etc., from which you can get money from your bank account using a special plastic card (the abbreviation for ‘automated teller machine’ or ‘automatic teller machine’)"
Arab,noun,"1. a person from the Middle East or North Africa, whose ancestors lived in the Arabian peninsula 2. a type of horse originally from Arabia"
Arab,adjective,of or connected with Arabia or Arabs
Asian-American,adjective,being an Asian American; connected with Asian Americans
CD-ROM,noun,"a type of CD used with a computer on which information, sound and pictures can only be read and not written by the computer (the abbreviation for ‘compact disc read-only memory’) "
CEO,noun,the person with the highest rank in a business company (the abbreviation for ‘chief executive officer’) 
Celsius,noun,a scale of temperature in which water freezes at 0° and boils at 100°
Celsius,adjective,of or using a scale of temperature in which water freezes at 0° and boils at 100°
Chanukah,noun,an eight-day Jewish festival and holiday in December (or sometimes starting in late November) when Jewish people remember the occasion when the temple in Jerusalem was dedicated again in 165 BC
Christian,adjective,1. based on or believing the teachings of Jesus Christ 2. connected with Christians 3. showing the qualities that are thought of as typical of a Christian; good and kind
Christian,noun,1. a person who believes in the teachings of Jesus Christ or has been baptized in a Christian church 2. the main character in The Pilgrim's Progress by John Bunyan
Christianity,noun,the religion that is based on the teachings of Jesus Christ and the belief that he was the son of God
Congress,noun,"1. a large formal meeting or series of meetings where representatives from different groups discuss ideas, make decisions, etc. 2. (in the US and some other countries) the name of the group of people who are elected to make laws, in the US consisting of the Senate and the House of Representatives"
Covid,noun,"a disease caused by a coronavirus, especially Covid-19"
Covid-19,noun,a disease caused by a coronavirus that was first reported in 2019 and became a pandemic
DIY,noun,"the activity of making, repairing or decorating things in the home yourself, instead of paying somebody to do it (the abbreviation for ‘do-it-yourself’) "
DJ,noun,"1. a person whose job is to introduce and play recorded popular music, on radio or television or at a club, party, etc. (the abbreviation for ‘disc jockey’) 2. a black or white jacket worn with a bow tie at formal occasions in the evening (the abbreviation for ‘dinner jacket’)"
DNA,noun,1. the chemical in the cells of animals and plants that carries genetic information and is a type of nucleic acid (the abbreviation for ‘deoxyribonucleic acid’)  2. the qualities and characteristics that are a fixed part of somebody/something
Danish,noun,"1. the language of Denmark 2. a sweet cake made of light pastry, often containing apple, nuts, etc. and/or covered with icing"
Divali,noun,"a Hindu festival that is held in the October or November, celebrated by lighting candles and clay lamps, and with fireworks"
Diwali,noun,"a Hindu festival that is held in October or November, celebrated by lighting candles and clay lamps, and with fireworks"
Eid,noun,"one of the two main Muslim festivals, either Eid ul-Fitr /iːd ʌl fɪtə(r)/ at the end of Ramadan, or Eid ul-Adha /iːd ʌl ʌdə/, which celebrates the end of the pilgrimage to Mecca and Abraham’s sacrifice of a sheep"
GM,abbreviation,gram(s)
GPS,noun,"a system by which signals are sent from satellites to a special device, used to show the position of a person or thing on the surface of the earth very accurately (the abbreviation for ‘global positioning system’) "
HTTP,abbreviation,Hypertext Transfer Protocol (the set of rules that control the way data is sent and received over the internet)
Halloween,noun,"the night of 31st October when it was believed in the past that dead people appeared from their graves, and which is now celebrated in the US, Canada and the UK by children who dress as ghosts, witches, etc."
Hanukkah,noun,an eight-day Jewish festival and holiday in December (or sometimes starting in late November) when Jewish people remember the occasion when the temple in Jerusalem was dedicated again in 165 BC
Hindu,adjective,connected with Hinduism or people who are Hindus
Hindu,noun,a person whose religion is Hinduism
Hinduism,noun,the main religion of India and Nepal which includes the worship of one or more gods and belief in reincarnation
ICT,noun,"the study of the use of computers, the internet, video, and other technology as a subject at school (the abbreviation for ‘information and communications technology’) "
ID,noun,"the part of the unconscious mind where many of a person’s basic needs, feelings and desires are supposed to exist"
Id,noun,"the part of the unconscious mind where many of a person’s basic needs, feelings and desires are supposed to exist"
Islam,noun,"1. the Muslim religion, based on belief in one God and revealed through Muhammad as the Prophet of Allah 2. all Muslims and Muslim countries in the world"
Jew,noun,a member of the people and cultural community whose traditional religion is Judaism and who come from the ancient Hebrew people of Israel; a person who believes in and practises Judaism
Jewish,adjective,connected with Judaism; believing in and practising Judaism
Judaism,noun,"the religion of the Jewish people, based mainly on the first five books of the Bible and the Talmud"
Jupiter,noun,"the largest planet of the solar system, fifth in order of distance from the sun"
Language,noun,1. the system of communication in speech and writing that is used by people of a particular country or area 2. the use by humans of a system of sounds and words to communicate
Muslim,adjective,believing in and practising Islam; connected with the religion of Islam
Muslim,noun,a person whose religion is Islam
PM,noun,1. the main minister and leader of the government in some countries (the abbreviation for ‘prime minister’) 2. a private message (= one that only the person who wrote it and the person who they sent it to can read) on social media or an online forum
Party,noun,"1. a social occasion, often in a person’s home, at which people eat, drink, talk, dance and enjoy themselves 2. a political organization that you can vote for in elections and whose members have the same aims and ideas"
PhD,noun,a university degree of a very high level that is given to somebody who has done research in a particular subject (the abbreviation for ‘Doctor of Philosophy’) 
Pole,noun,"1. a long thin straight piece of wood or metal, especially one with the end placed in the ground, used as a support 2. either of the two points at the opposite ends of the line on which the earth or any other planet turns"
Ramadan,noun,"the ninth month of the Muslim year, when Muslims do not eat or drink between dawn and sunset"
Scottish,adjective,of or connected with Scotland or its people
Skype,verb,to speak (with somebody) using Skype
Skype,noun,"a phone system that works by direct communication between users’ computers on the internet, often using webcams so the callers can see each other"
Stick,noun,1. a thin piece of wood that has fallen or been broken from a tree 2. a stick that you carry and use as a support when you are walking
TV,noun,1. television 2. being broadcast by television; appearing in a television programme
Turkish,noun,the language of Turkey
Venus,noun,"the planet in the solar system that is second in order of distance from the sun, between Mercury and the Earth"
X-ray,noun,"1. a type of radiation that can pass through solid objects and make it possible to see inside or through them 2. a photograph made by X-rays, especially one showing bones or organs in the body 3. a medical examination using X-rays"
X-ray,verb,"to photograph and examine bones and organs inside the body, using X-rays"
YouTuber,noun,a person who creates or appears in videos on YouTube
