english,tag,definition
Allah,noun,the name of God among Muslims
Alsatian,noun,"a large dog, often trained to help the police, to guard buildings or (especially in the US) to help blind people find their way"
Anglo-Saxon,adjective,1. used to describe somebody whose ancestors were English 2. of or connected with the period of English history before the Norman Conquest 3. of or connected with the Old English language
Anglo-Saxon,noun,1. a person whose ancestors were English 2. an English person of the period before the Norman Conquest 3. the Old English language
BCE,abbreviation,"before the Common Era (before the birth of Christ, when the Christian calendar starts counting years. BCE can be used to give dates in the same way as BC)"
BMX,noun,1. a strong bicycle which can be used for riding on rough ground 2. the sport of racing BMX bicycles on rough ground
Bengali,noun,1. a person from Bangladesh or West Bengal in eastern India 2. the language of people from Bangladesh or West Bengal in eastern India
BlackBerry,noun,a small soft black fruit that grows on a bush with thorns in gardens or in the countryside. The bush is also called a blackberry.
Blu-ray,noun,technology that uses a blue laser (= a very strong line of light) to record and play large amounts of high quality data on a type of DVD
Bluetooth,noun,"a radio technology that makes it possible for mobile phones, computers and other electronic devices to be linked over short distances, without needing to be connected by wires"
Bollywood,noun,"used to refer to the Hindi film industry, which is mainly based in the Indian city of Mumbai (in the past called Bombay)"
Broadway,noun,"a street in New York City where there are many theatres, sometimes used to refer to the US theatre industry in general"
Buddha,noun,"1. a title given to Siddhartha Gautama, the person on whose teachings the Buddhist religion is based 2. a statue or picture of the Buddha 3. a person who has achieved enlightenment (= spiritual knowledge) in Buddhism"
Buddhism,noun,"an Indian religion widely followed in Asia, based on the teaching of Siddhartha Gautama (or Buddha)"
Buddhist,noun,a person who follows the religion of Buddhism
Buddhist,adjective,following or connected with the religion of Buddhism
C-19,noun,a disease caused by a coronavirus that was first reported in 2019 and became a pandemic (the abbreviation for Covid-19)
CCTV,abbreviation,closed-circuit television
CFO,noun,the person in a company who has the most authority over the finances (the abbreviation for ‘chief financial officer’)
CTO,noun,the person in a company who is responsible for managing the company’s technology requirements (the abbreviation for ‘chief technology officer’) 
Catholic,noun,a member of the part of the Christian Church that has the Pope as its leader
Catholicism,noun,the beliefs and principles of the part of the Christian Church that has the pope as its leader
Christ,noun,the man that Christians believe is the son of God and on whose teachings the Christian religion is based
FBI,abbreviation,Federal Bureau of Investigation (the police department in the US that is controlled by the national government and that is responsible for dealing with crimes that affect more than one state)
Fahrenheit,noun,the scale of temperature in which water freezes at 32° and boils at 212°
GCSE,noun,"a British exam taken by students in England and Wales and some other countries, usually around the age of 16. GCSEs can be taken in a range of subjects. (GCSE is the abbreviation for ‘General Certificate of Secondary Education’.) "
HIV,noun,the virus that can cause AIDS (the abbreviation for ‘human immunodeficiency virus’) 
HTML,abbreviation,"Hypertext Markup Language (a system used to mark text for World Wide Web pages in order to obtain colours, style, pictures, etc.)"
Hoover,noun,"to clean a carpet, floor, etc. with a vacuum cleaner"
IGCSE,noun,an international exam in different subjects that students can take when they are between 14 and 16 (the abbreviation for ‘International General Certificate of Secondary Education’)
