english,tag,definition
Impressionism,noun,a style in painting developed in France in the late 19th century that uses colour to show the effects of light on things and to suggest atmosphere rather than showing exact details
Impressionist,adjective,in the style of Impressionism; painting in this style
Islamic,adjective,connected with the Muslim religion
Jeep,noun,"a small strong vehicle used, especially by the army, for driving over rough ground"
Jesus,noun,the man that Christians believe is the son of God and on whose teachings the Christian religion is based
Kiswahili,noun,"a language widely used in East Africa, especially between people who speak different first languages"
Koran,noun,"the holy book of the Islamic religion, written in Arabic, containing the word of Allah as revealed to the Prophet Muhammad"
LGBT,abbreviation,"lesbian, gay, bisexual and transgender"
LGBTQ,abbreviation,"lesbian, gay, bisexual, transgender and queer (or questioning)"
LOL,exclamation,"(in emails, social media, etc. from the abbreviation for ‘laugh out loud’) used to express fun, laughter or the feeling that something makes you smile"
Labrador,noun,"a large dog that can be yellow, black or brown in colour, often used by blind people as a guide"
Lego,noun,a children’s toy that consists of small coloured bricks that fit together
Ltd,abbreviation,Limited (used after the name of a British company or business)
MBA,noun,a second university degree in business (the abbreviation for ‘Master of Business Administration’) 
Maori,noun,"1. a member of the group of people who were the original people living in New Zealand, before Europeans arrived 2. the language of the Maori people"
Mercury,noun,"a chemical element. Mercury is a poisonous silver liquid metal, used in thermometers."
Mohammed,noun,1. the Arab Prophet through whom the Koran was revealed and the religion of Islam established and completed 2. a first name for boys
Muhammad,noun,1. the Arab Prophet through whom the Koran was revealed and the religion of Islam established and completed 2. a first name for boys
NASA,abbreviation,National Aeronautics and Space Administration (a US government organization that does research into space and organizes space travel)
NATO,abbreviation,North Atlantic Treaty Organization. NATO is an organization to which many European countries and the US and Canada belong. They agree to give each other military help if necessary.
NGO,noun,"non-governmental organization (a charity, association, etc. that is independent of government and business)"
Neptune,noun,a planet in the solar system that is 8th in order of distance from the sun
Pluto,noun,"one of a number of round objects in space that are not as large as planets but which go around the sun. In August 2006, the International Astronomical Union declared that Pluto should be called a dwarf planet because it is smaller and has different characteristics from the other planets in our solar system; in 2008 it declared that dwarf planets further from the sun than Neptune could also be called plutoids."
Protestant,adjective,belonging to or connected with the part of the Western Christian Church that separated from the Roman Catholic Church in the 16th century
Protestant,noun,a member of a part of the Western Christian Church that separated from the Roman Catholic Church in the 16th century
Protestantism,noun,the beliefs and principles of the part of the Western Christian Church that separated from the Roman Catholic Church in the 16th century
Qur’an,noun,"the holy book of the Islamic religion, written in Arabic, containing the word of Allah as revealed to the Prophet Muhammad"
RAM,noun,1. a male sheep 2. a part in a machine that is used for hitting something very hard or for lifting or moving things
STEM,abbreviation,"science, technology, engineering and mathematics (used to refer to these subjects as a group in the context of education and jobs)"
Saturn,noun,"1. a large planet in the solar system that has rings around it and is 6th in order of distance from the sun 2. a US rocket used in the 1960s and 1970s to send spacecraft and satellites (= electronic devices that move around the earth) into space. The original Saturn was developed in 1958 by Wernher von Braun, and it had two rockets used in sequence. Saturn 5 had three rockets and carried 12 million US gallons /45.6 million litres of fuel. It was used for the Apollo program to send men to the moon. 3. a popular make of small US car that is cheap to run, produced by General Motors since 1990"
Swahili,noun,"a language widely used in East Africa, especially between people who speak different first languages"
Tamil,noun,1. a member of a people living in Tamil Nadu in southern India and in Sri Lanka 2. the language of the Tamils
TikTok,noun,a social media website for creating and sharing short personalized videos
UFO,noun,a strange object that some people claim to have seen in the sky and believe is a spacecraft from another planet (the abbreviation for ‘unidentified flying object’) 
USB,abbreviation,universal serial bus (the system for connecting other pieces of equipment to a computer)
Uranus,noun,the planet in the solar system that is 7th in order of distance from the sun
Urdu,noun,"the official language of Pakistan, also widely used in India"
VAR,noun,an electronic system in which officials watch video recordings of important moments in a match in order to advise the referee (= the official who controls the match) and correct any mistakes (the abbreviation for video assistant referee)
VIP,noun,a famous or important person who is treated in a special way (the abbreviation for ‘Very Important Person’) 
Victorian,adjective,1. connected with the period from 1837 to 1901 when Queen Victoria was queen in the UK 2. having the attitudes that were typical of society during Queen Victoria’s reign
Victorian,noun,"a British person who was alive during the period from 1837 to 1901, when Queen Victoria was queen"
XXL,abbreviation,"extra extra large (used for sizes of things, especially clothes)"
able,adjective,"1. having the skill, intelligence, opportunity, etc. needed to do something 2. intelligent; good at something"
aboard,adverb,"on or onto a ship, plane, bus or train"
abolition,noun,"the ending of a law, a system or an institution"
abortion,noun,1. the deliberate ending of a pregnancy at an early stage 2. a medical operation to end a pregnancy at an early stage 3. the process of giving birth to a baby before it is fully developed and able to survive
absorbed,adjective,very interested in something/somebody so that you are not paying attention to anything else
abuse,verb,"1. to make bad use of something, or to use so much of something that it harms your health 2. to use power or knowledge unfairly or wrongly 3. to treat a person or an animal in a cruel or violent way, especially sexually"
abuse,noun,"1. the use of something in a way that is wrong or harmful 2. unfair, cruel or violent treatment of somebody 3. rude and offensive remarks, usually made when somebody is very angry"
academy,noun,"1. a school or college for special training 2. a type of official organization that aims to encourage and develop art, literature, science, etc. 3. a secondary school in Scotland"
accelerate,verb,1. to happen faster or earlier; to make something happen faster or earlier 2. to start to go faster
acceleration,noun,1. an increase in how fast something happens 2. the rate at which a vehicle increases speed 3. the rate at which the velocity (= speed in a particular direction) of an object changes
accelerator,noun,1. the pedal in a car or other vehicle that you press with your foot to control the speed of the engine 2. a machine for making elementary particles move at high speeds
acceptance,noun,"1. the act of accepting a gift, an invitation, an offer, etc. 2. the act of agreeing with something and approving of it 3. the process of allowing somebody to join something or be a member of a group"
accessibility,noun,"1. how easy something is to reach, enter, use, see, etc. 2. how easy something is to reach, enter, use, etc. for somebody with a disability 3. how easy something is to understand"
accessory,noun,"1. an extra piece of equipment that is useful but not essential or that can be added to something else as a decoration 2. a thing that you can wear or carry that matches your clothes, for example a belt or a bag 3. a person who helps somebody to commit a crime or who knows about it and protects the person from the police"
accommodate,verb,"1. to provide somebody with a room or place to sleep, live or sit 2. to provide enough space for somebody/something 3. to consider something such as somebody’s opinion or a fact and be influenced by it when you are deciding what to do or explaining something"
accomplice,noun,a person who helps another to commit a crime or to do something wrong
accomplished,adjective,very good at a particular thing; having a lot of skills
accomplishment,noun,1. an impressive thing that is done or achieved after a lot of work 2. a skill or special ability 3. the successful completing of something
accountability,noun,the fact of being responsible for your decisions or actions and expected to explain them when you are asked
accountable,adjective,responsible for your decisions or actions and expected to explain them when you are asked
accountancy,noun,the work or profession of an accountant
accumulate,verb,1. to gradually get more and more of something over a period of time 2. to gradually increase in number or quantity over a period of time
accumulation,noun,1. the process of gradually increasing or getting more and more of something over a period of time 2. an amount of something that has gradually increased over a period of time
achiever,noun,"1. a person who achieves a high level of success, especially in their career 2. a person who achieves the particular level of success that is stated"
acid,adjective,1. that contains acid or has the essential characteristics of an acid; that has a pH of less than seven 2. that has a bitter sharp taste 3. critical and unkind
acidity,noun,the state of having a bitter sharp taste or of containing acid
acoustic,adjective,"1. related to sound or to the sense of hearing 2. designed to make natural sound, not sound amplified (= made louder) by electrical equipment"
acquisition,noun,"1. the act of getting something, especially knowledge, a skill, etc. 2. something that somebody buys to add to what they already own, usually something valuable 3. a company, piece of land, etc. bought by somebody, especially another company; the act of buying it"
acquit,verb,"1. to decide and state officially in court that somebody is not guilty of a crime 2. to perform or behave well, badly, etc."
acre,noun,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres
act,noun,1. a particular thing that somebody does 2. a law that has been passed by a parliament 3. a way of behaving that is not sincere but is intended to have a particular effect on others
activation,noun,the act of making something such as a device or chemical process start working
active,adjective,"1. always busy doing things, especially physical activities 2. involved in something; making a determined effort and not leaving something to happen by itself 3. doing something regularly; functioning"
activism,noun,"the activity of working to achieve political or social change, especially as a member of an organization with particular aims"
activist,noun,"a person who works to achieve political or social change, especially as a member of an organization with particular aims"
actor-manager,noun,an actor who is in charge of a theatre company and acts in the plays that they perform
acute,adjective,1. very serious or severe 2. an acute illness is one that has quickly become severe and dangerous 3. describing or designed for patients suffering from an acute illness
acutely,adverb,1. noticing or feeling something very strongly 2. (describing unpleasant feelings) very; very strongly 3. to a severe and dangerous degree
adaptable,adjective,able to change or be changed in order to deal successfully with new situations
adaptation,noun,"1. the action or process of changing something, or of being changed, to suit a new purpose or situation 2. a film, television drama or play that is based on a particular book or play but has been changed to suit the new medium 3. the process of change by which a species becomes better suited to its environment"
adapter,noun,"1. a device for connecting pieces of electrical equipment that were not designed to fit together 2. a device for connecting more than one piece of equipment to the same socket (= a place in the wall where equipment is connected to the electricity supply) 3. a person who changes a book or play so that it can be made into a play, film, television drama, etc. "
addict,noun,"a person who is unable to stop using or doing something as a habit, especially something harmful"
addictive,adjective,"1. if a substance or activity is addictive, it makes people unable to stop using it or doing it 2. easily becoming addicted to something; showing this"
adjacent,adjective,next to something
administer,verb,"1. to manage and organize the affairs of a company, an organization, a country, etc. 2. to make sure that something is done fairly and in the correct way 3. to give or to provide something, especially in a formal way"
administrative,adjective,connected with organizing the work of a business or an institution
administrator,noun,"1. a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc. 2. a person who manages a computer system and controls who can access it 3. a person legally appointed (= chosen) to manage the financial affairs of a business that cannot pay its debts"
admiral,noun,an officer of very high rank in the navy
admiration,noun,a feeling of respect for and approval of somebody/something
admission,noun,"1. the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization 2. a statement in which somebody admits that something is true, especially something wrong or bad that they have done 3. the amount of money that you pay to go into a building or to an event"
admit,verb,"1. to agree, often unwillingly, that something is true 2. to say that you have done something wrong or illegal 3. to allow somebody/something to enter a place"
adolescence,noun,the time in a person’s life when they develop from a child into an adult
adolescent,noun,a young person who is developing from a child into an adult
adoption,noun,"1. the act of adopting a child; the fact of being adopted 2. the decision to start using something such as an idea, a plan or a name 3. the act of choosing somebody as a candidate for an election"
adoptive,adjective,in that relationship as a result of the parent legally adopting the child
adrenaline,noun,"a substance produced in the body when you are excited, afraid or angry. It makes the heart beat faster and increases your energy and ability to move quickly."
advance,verb,"1. if knowledge, technology, etc. advances, it develops and improves 2. to move forward towards somebody/something, often in order to attack or threaten them or it 3. to help something to succeed"
advancement,noun,"1. the process of helping something/somebody to make progress or succeed; the progress that is made 2. progress in a job, social class, etc."
advantage,verb,to put somebody in a better position than other people or than they were in before
advantaged,adjective,being in a good social or financial situation
advocate,verb,to support something publicly
aerial,adjective,1. from a plane 2. in the air; existing above the ground
aerial,noun,a piece of equipment made of wire or long straight pieces of metal for receiving or sending radio and television signals
aerobic,adjective,1. needing oxygen 2. especially designed to improve the function of the heart and lungs
aerospace,noun,"the industry of building aircraft, vehicles and equipment to be sent into space"
affection,noun,1. the feeling of liking or loving somebody/something very much and caring about them 2. a person’s feelings of love
affectionate,adjective,showing caring feelings and love for somebody
affirmative,noun,a word or statement that means ‘yes’; an agreement or a confirmation
affirmative,adjective,"1. an affirmative word or reply means ‘yes’ or expresses agreement 2. expressing something that is true, did happen, etc.; not containing words such as ‘no’, ‘not’, ‘never’, etc."
affirmatively,adverb,in a way that means ‘yes’ or expresses agreement
affix,noun,a letter or group of letters added to the beginning or end of a word to change its meaning. The prefix un- in unhappy and the suffix -less in careless are both affixes.
aftermath,noun,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc."
again,adverb,1. one more time; on another occasion 2. showing that somebody/something is in the same place or state that they were in originally 3. added to an amount that is already there
aged,adjective,1. of the age of 2. very old 3. very old people
aggression,noun,1. feelings of anger and hate that may result in threatening or violent behaviour 2. a violent attack or threats by one person against another person or by one country against another country
agitate,verb,"1. to argue strongly for something you want, especially for changes in a law, in social conditions, etc. 2. to make somebody feel angry, anxious or nervous 3. to make something, especially a liquid, move around by mixing or shaking it"
agitated,adjective,showing in your behaviour that you are anxious and nervous
agonizing,adjective,"causing great pain, worry or difficulty"
agony,noun,1. extreme physical or mental pain 2. to make an unpleasant situation worse
agricultural,adjective,connected with the science or practice of farming
aide,noun,"a person who helps another person, especially a politician, in their job"
ailment,noun,an illness that is not very serious
air,verb,"1. to put clothing, etc. in a place that is warm or has plenty of air so that it dries completely and smells fresh; to be left to dry somewhere 2. to allow fresh air into a room or a building; to be filled with fresh air 3. to express your opinions publicly"
airfield,noun,an area of flat ground where military or private planes can take off and land
airspace,noun,"the part of the sky where planes fly, usually the part above a particular country that is legally controlled by that country"
alcoholic,noun,"a person who regularly drinks too much alcohol and cannot easily stop drinking, so that it has become an illness"
alert,noun,1. a situation in which people are watching for danger and ready to deal with it 2. a warning of danger or of a problem 3. a signal on an electronic device to inform the user of something or remind them to do something
alert,verb,1. to warn somebody about a dangerous situation or one that requires immediate action 2. to make somebody aware of something
alert,adjective,"1. able to think quickly; quick to notice things 2. aware of something, especially a problem or danger"
algae,noun,"very simple plants, such as seaweed, that have no real leaves, stems or roots, and that grow in or near water"
algebra,noun,a type of mathematics in which letters and symbols are used to represent quantities
alibi,noun,1. evidence that proves that a person was in another place at the time of a crime and so could not have committed it 2. an excuse for something that you have done wrong
alien,adjective,1. strange and frightening; different from what you are used to 2. from another country or society; foreign 3. not usual or acceptable
alike,adjective,very similar
all-day,adjective,continuing or available for the whole day
all-inclusive,adjective,including everything or everyone
all-you-can-eat,adjective,relating to a restaurant meal at which you can eat as much food as you want for a fixed price
alliance,noun,"1. an agreement between countries, political parties, etc. to work together in order to achieve something that they all want 2. a group of people, political parties, etc. who work together in order to achieve something that they all want"
allied,adjective,1. connected with countries or groups that join together to fight a war or work for a shared aim 2. connected with the countries that fought together against Germany in the First and Second World Wars 3. (of two or more things) similar or existing together; connected with something
alligator,noun,"a large reptile similar to a crocodile, with a long tail, hard skin and very big jaws, that lives in rivers and lakes in North and South America and China"
allowance,noun,"1. an amount of money that is given to somebody regularly or for a particular purpose 2. the amount of something that is allowed in a particular situation 3. a small amount of money that parents give their children, usually every week or every month"
ally,noun,"1. a country that has agreed to help and support another country, especially in case of a war 2. a person who helps and supports somebody who is in a difficult situation, especially a politician 3. a person who offers their support to a particular group of people in society that they themselves do not belong to, in order to help ensure their basic rights and ability to be happy and successful in society "
almond,noun,the flat pale sweet nut of the almond tree used in cooking and to make almond oil
alternate,adjective,"1. happening or following one after the other regularly 2. if something happens on alternate days, nights, etc. it happens on one day, etc. but not on the next 3. that can be used instead of something else"
altitude,noun,1. the height above sea level 2. a place that is high above sea level
aluminium,noun,"a chemical element. Aluminium is a light, silver-grey metal used for making pans, etc."
always,adverb,1. at all times; on every occasion 2. for a long time; since you can remember 3. for all future time
ambassador,noun,1. an official who lives in a foreign country as the senior representative there of their own country 2. a person who represents or promotes a particular activity
amphibian,noun,"any animal that can live both on land and in water. Amphibians have cold blood and skin without scales. Frogs, toads and newts are all amphibians."
amplifier,noun,an electrical device or piece of equipment that makes sounds or radio signals louder
amplify,verb,"1. to increase something in strength, especially sound 2. to add details to a story, statement, etc."
anaesthetic,noun,"a drug that makes a person or an animal unable to feel anything, especially pain, either in the whole body or in a part of the body"
anaesthetic,adjective,containing a substance that makes a person or an animal unable to feel pain in all or part of the body
analogue,adjective,1. using a continuously changing range of physical quantities to measure or store data 2. showing the time using hands on a dial and not with a display of numbers
analogy,noun,1. a comparison of one thing with another thing that has similar features; a feature that is similar 2. the process of comparing one thing with another thing that has similar features in order to explain it
ancestry,noun,the family or the group of people that you come from
anchor,noun,1. a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place 2. a person or thing that gives somebody a feeling of safety 3. a person who presents a live radio or television programme and introduces reports by other people; an anchorman or anchorwoman
anchor,verb,1. to let an anchor down from a boat or ship in order to prevent it from moving away 2. to fix something in position so that it cannot move 3. to base something on something else
angel,noun,"1. a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings. 2. a person who is very good and kind; a child who behaves well 3. used when you are talking to somebody and you are grateful to them"
animate,verb,"1. to make something more lively or full of energy 2. to make models, toys, images, etc. seem to move in a film, either by rapidly showing slightly different pictures of them in a series, one after another, or by using computer techniques to create moving images"
annoyance,noun,1. the feeling of being slightly angry 2. something that makes you slightly angry
antelope,noun,"an African or Asian animal, like a deer, that runs very fast. There are many types of antelope."
antenna,noun,"1. either of the two long thin parts on the heads of some insects and some animals that live in shells, used to feel and touch things with 2. a piece of equipment made of wire or long straight pieces of metal for receiving or sending radio and television signals"
anthem,noun,"1. a song that has a special importance for a country, an organization or a particular group of people, and is sung on special occasions 2. a short religious song for a choir (= a group of singers), often with an organ"
anthropological,adjective,"connected with the study of the human race, especially its origins, development, customs and beliefs"
anthropologist,noun,"a person who studies the human race, especially its origins, development, customs and beliefs"
anthropology,noun,"the study of the human race, especially of its origins, development, customs and beliefs"
anti,preposition,"if somebody is anti somebody/something, they do not like or agree with that person or thing"
anti-vaccine,adjective,opposed to vaccination
antiseptic,noun,a substance that helps to prevent infection in wounds by killing bacteria
antiseptic,adjective,1. able to prevent infection 2. very clean and free from bacteria
antivirus,adjective,designed to find and destroy computer viruses
antler,noun,one of the two horns that grow on the head of male deer
appalled,adjective,feeling or showing horror at something unpleasant or wrong
apparatus,noun,"1. the tools or other pieces of equipment that are needed for a particular activity or task 2. the structure of a system or an organization, particularly that of a political party or a government 3. a system of organs in the body"
appeal,noun,"1. a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police 2. a quality that makes somebody/something attractive or interesting 3. a formal request to a court or to somebody in authority for a judgement or a decision to be changed"
appeal,verb,"1. to make a deeply felt request, especially for something that is needed immediately 2. to attract or interest somebody 3. to make a formal request to a court or to somebody in authority for a judgment or a decision to be changed"
appendix,noun,"1. a small bag of tissue that is attached to the large intestine. In humans, the appendix has no clear function. 2. a section giving extra information at the end of a book or document"
appetite,noun,1. physical desire for food 2. a strong desire for something
appetizer,noun,1. a small amount of food or a drink that you have before a meal 2. a small dish of food that is served before the main course of a meal
appetizing,adjective,that smells or looks attractive; making you feel hungry or thirsty
application,noun,"1. a formal (often written) request for something, such as a job, permission to do something or a place at a college or university 2. the practical use of something, especially a theory, discovery, etc. 3. an act of putting or spreading something, such as paint or medical creams, onto something else"
appoint,verb,1. to choose somebody for a job or position of responsibility 2. to arrange or decide on a time or place for doing something
appraise,verb,"1. to consider or examine somebody/something and form an opinion about them or it 2. to officially examine a building, an object, etc. and say how much it is worth 3. to make a formal judgement about the value of a person’s work, usually after a discussion with them about it"
appreciate,verb,1. to recognize the good qualities of somebody/something 2. to be grateful for something that somebody has done; to welcome something 3. to understand that something is true
appreciation,noun,"1. pleasure that you have when you recognize and enjoy the good qualities of somebody/something 2. a full understanding of something, such as a situation or a problem, and of what it involves 3. the feeling of being grateful for something"
apprehensive,adjective,worried or frightened that something unpleasant may happen
apprenticeship,noun,a period of time working as an apprentice; a job as an apprentice
approach,noun,"1. a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task 2. movement nearer to somebody/something in distance or time 3. the act of speaking to somebody about something, especially when making an offer or a request"
apricot,noun,1. a round fruit with yellow or orange skin and a large hard seed inside 2. a pale orange colour
aquarium,noun,1. a large glass container in which fish and other water creatures and plants are kept 2. a building where people can go to see fish and other water creatures
arcade,noun,"1. a covered passage with arches along the side of a row of buildings (usually a row of shops) 2. a covered passage between streets, with shops on either side 3. a large building with a number of shops in it"
arch,noun,"1. a curved structure that supports the weight of something above it, such as a bridge or the upper part of a building 2. a structure with a curved top that is supported by straight sides, sometimes forming an entrance or built as a monument 3. the raised part of the foot formed by a curved section of bones"
arched,adjective,in the shape of an arch
architectural,adjective,relating to architecture and buildings
architecture,noun,1. the art and study of designing buildings 2. the design or style of a building or buildings 3. the design and structure of a computer system
archive,noun,"1. a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored 2. an electronic record of the data on a computer system, stored on a separate device for safety and security"
area,noun,"1. part of a place, town, etc., or a region of a country or the world 2. a part of a room, building or particular space that is used for a special purpose 3. a particular place on an object"
arena,noun,"1. a place with a flat open area in the middle and seats around it where people can watch sports and entertainment 2. an area of activity that interests the public, especially one where there is a lot of opposition between different groups or countries"
arguable,adjective,1. that you can give good reasons for 2. not certain; that you do not accept without question
arguably,adverb,used (often before a comparative or superlative adjective) when you are stating an opinion that you believe you could give reasons to support
argumentative,adjective,a person who is argumentative likes arguing or often starts arguing
arid,adjective,1. having little or no rain; very dry 2. with nothing new or interesting in it
aristocracy,noun,"(in some countries) people born in the highest social class, who have special titles"
aristocrat,noun,a member of the aristocracy
arithmetic,noun,"1. the type of mathematics that deals with the adding, multiplying, etc. of numbers 2. sums involving the adding, multiplying, etc. of numbers"
arm,verb,"1. to provide weapons for yourself/somebody in order to fight a battle or a war 2. to make a bomb, etc. ready to explode"
arm,noun,"1. either of the two long parts that stick out from the top of the body and connect the shoulders to the hands 2. the part of a piece of clothing that covers the arm 3. the part of a chair, etc. on which you rest your arms"
armour,noun,1. special metal clothing that soldiers wore in the past to protect their bodies while fighting; special clothing that soldiers or police officers wear to protect their bodies 2. metal covers that protect ships and military vehicles such as tanks 3. military vehicles used in war
arson,noun,"the crime of deliberately setting fire to something, especially a building"
arsonist,noun,a person who commits the crime of arson
artery,noun,"1. any of the tubes that carry blood from the heart to other parts of the body 2. a large and important road, river, railway line, etc."
articulate,adjective,1. good at expressing ideas or feelings clearly in words 2. clearly expressed or pronounced
articulate,verb,"1. to express or explain your thoughts or feelings clearly in words 2. to speak, pronounce or play something in a clear way 3. to be related to something so that together the two parts form a whole"
asparagus,noun,a plant whose young green or white stems are cooked and eaten as a vegetable
aspiration,noun,"1. a strong desire to have or do something 2. the action of pronouncing a word with a breath that can be heard, as in the /h/ sound in house in English"
aspire,verb,to have a strong desire to achieve or to become something
aspiring,adjective,1. wanting to start the career or activity that is mentioned 2. wanting to be successful in life
assassin,noun,"a person who murders somebody important or famous, for money or for political reasons"
assassinate,verb,"to murder an important or famous person, especially for political reasons"
assault,noun,"1. the crime of attacking somebody physically 2. the act of attacking a building, an area, etc. in order to take control of it 3. the act of trying to achieve something that is difficult or dangerous"
assault,verb,"1. to attack somebody violently, especially when this is a crime 2. to affect your senses in a way that is very unpleasant or uncomfortable"
assemble,verb,"1. to come together as a group; to bring people or things together as a group 2. to fit together all the separate parts of something, for example a piece of furniture"
assembly,noun,"1. a group of people who have been elected to meet together regularly and make decisions or laws for a particular region or country 2. the meeting together of a group of people for a particular purpose; a group of people who meet together for a particular purpose 3. a meeting of the teachers and students in a school, usually at the start of the day, to give information, discuss school events or say prayers together"
assert,verb,"1. to state clearly and definitely that something is true 2. to behave in a confident and determined way so that other people pay attention to your opinions 3. to make other people recognize your right or authority to do something, by behaving in a determined and confident way"
assertion,noun,"1. a statement saying that you strongly believe something to be true 2. the act of stating, using or claiming something strongly"
assertive,adjective,"expressing opinions or desires strongly and with confidence, so that people take notice"
assertively,adverb,"in a strong and confident way, so that people take notice of what you think or want "
assessor,noun,"1. an expert in a particular subject who is asked by a court or other official group to give advice 2. a person who calculates the value or cost of something or the amount of money to be paid 3. a person who judges how well somebody has done in an exam, a competition, etc."
associate,noun,"1. a person that you work with, do business with or spend a lot of time with 2. an associate member 3. a person who has an Associate’s degree (= one that is given after completing two years of study at a junior college)"
assure,verb,"1. to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it 2. to make yourself certain about something 3. to make something certain to happen"
assured,adjective,1. confident in yourself and your abilities 2. certain to happen 3. certain to get something
asthma,noun,a medical condition of the chest that makes breathing difficult
astonishment,noun,a feeling of very great surprise
astound,verb,to surprise or shock somebody very much
astounded,adjective,"very surprised or shocked by something, because it seems very unlikely"
astrobiologist,noun,a scientist who studies life on other planets
astrobiology,noun,the scientific study of life on other planets
asylum,noun,"1. protection that a government gives to people who have left their own country, usually because they were in danger for political reasons 2. a hospital where people who were mentally ill could be cared for, often for a long time"
atmospheric,adjective,1. related to the earth’s atmosphere 2. creating an exciting or emotional mood
atomic,adjective,1. relating to atoms or an atom 2. relating to the energy that is produced when atoms are split; related to weapons that use this energy
atrocity,noun,"a cruel and violent act, especially in a war"
attain,verb,"1. to succeed in getting something, usually after a lot of effort 2. to reach a particular age, level or condition"
attainment,noun,1. something that you achieved 2. success in achieving something
attendance,noun,"1. the act of being present at a place, for example at school 2. the number of people present at an organized event 3. to be present at a special event"
attentive,adjective,1. listening or watching carefully and with interest 2. helpful; making sure that people have what they need
attitude,noun,"1. the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel 2. confident, sometimes aggressive behaviour that shows you do not care about other people’s opinions and that you want to do things in an individual way 3. a position of the body"
attorney,noun,"1. a lawyer, especially one who can act for somebody in court 2. a person who is given the power to act for another person in business or legal matters 3. a solicitor (= a lawyer who prepares legal documents and advises on legal matters)"
attractiveness,noun,1. the quality of being pleasant to look at or experience 2. the quality of seeming interesting or worth having
aubergine,noun,a vegetable with shiny dark purple skin that is soft and white inside
audit,verb,1. to officially examine the financial accounts of a company 2. to attend a course at college or university but without taking any exams or receiving credit
audit,noun,1. an official examination of business and financial records to see that they are true and correct 2. an official examination of the quality or standard of something
authenticity,noun,the quality of being true or what somebody claims it is
